code,imports,exports,name,total,period_start,period_end
ON,493328775088.0,285462451552,Ontario,778791226640.0,2025-08,2026-07
QC,115328068177.0,117427311517,Quebec,232755379694.0,2025-08,2026-07
AB,36475051523.0,188910880545,Alberta,225385932068.0,2025-08,2026-07
BC,79256082194.0,56076527585,British Columbia,135332609779.0,2025-08,2026-07
SK,19202034257.0,46740791005,Saskatchewan,65942825262.0,2025-08,2026-07
ZZ,0.0,56598438027,Unspecified (re-exports),56598438027.0,2025-08,2026-07
MB,33947231585.0,18593008384,Manitoba,52540239969.0,2025-08,2026-07
NB,17575265051.0,17010070688,New Brunswick,34585335739.0,2025-08,2026-07
NL,3466175905.0,16311510021,Newfoundland & Labrador,19777685926.0,2025-08,2026-07
NS,12910106210.0,6552389333,Nova Scotia,19462495543.0,2025-08,2026-07
PE,241701202.0,2649348151,Prince Edward Island,2891049353.0,2025-08,2026-07
NU,362462540.0,1566621150,Nunavut,1929083690.0,2025-08,2026-07
NT,47674149.0,740971110,Northwest Territories,788645259.0,2025-08,2026-07
YT,95803372.0,247102125,Yukon,342905497.0,2025-08,2026-07
